Postal Code;Latitude;Longitude
M1B;438.066.863;-791.943.534
M1C;437.845.351;-791.604.971
M1E;437.635.726;-791.887.115
M1G;437.709.921;-792.169.174
M1H;43.773.136;-792.394.761
M1J;437.447.342;-792.394.761
M1K;437.279.292;-792.620.294
M1L;437.111.117;-792.845.772
M1M;43.716.316;-792.394.761
M1N;43.692.657;-792.648.481
M1P;437.574.096;-79.273.304
M1R;437.500.715;-792.958.491
M1S;437.942.003;-792.620.294
M1T;437.816.375;-793.043.021
M1V;438.152.522;-792.845.772
M1W;437.995.252;-793.183.887
M1X;438.361.247;-792.056.361
M2H;438.037.622;-793.634.517
M2J;437.785.175;-793.465.557
M2K;437.869.473;-79.385.975
M2L;437.574.902;-793.747.141
M2M;43.789.053;-794.084.928
M2N;437.701.199;-794.084.928
M2P;437.527.583;-794.000.493
M2R;437.827.364;-794.422.593
M3A;437.532.586;-793.296.565
M3B;437.459.058;-79.352.188
M3C;437.258.997;-79.340.923
M3H;437.543.283;-794.422.593
M3J;437.679.803;-794.872.619
M3K;437.374.732;-794.647.633
M3L;437.390.146;-795.069.436
M3M;437.284.964;-794.956.974
M3N;437.616.313;-795.209.994
M4A;437.258.823;-793.155.716
M4B;437.063.972;-79.309.937
M4C;436.953.439;-793.183.887
M4E;436.763.574;-792.930.312
M4G;437.090.604;-793.634.517
M4H;437.053.689;-793.493.719
M4J;43.685.347;-793.381.065
M4K;436.795.571;-79.352.188
M4L;436.689.985;-793.155.716
M4M;436.595.255;-79.340.923
M4N;437.280.205;-793.887.901
M4P;437.127.511;-793.901.975
M4R;437.153.834;-794.056.784
M4S;437.043.244;-793.887.901
M4T;436.895.743;-793.831.599
M4V;436.864.123;-794.000.493
M4W;436.795.626;-793.775.294
M4X;43.667.967;-793.676.753
M4Y;436.658.599;-793.831.599
M5A;436.542.599;-793.606.359
M5B;436.571.618;-793.789.371
M5C;436.514.939;-793.754.179
M5E;436.447.708;-793.733.064
M5G;436.579.524;-793.873.826
M5H;436.505.712;-793.845.675
M5J;436.408.157;-793.817.523
M5K;436.471.768;-793.815.764
M5L;436.481.985;-793.798.169
M5M;437.332.825;-794.197.497
M5N;437.116.948;-794.169.356
M5P;436.969.476;-794.113.072
M5R;436.727.097;-794.056.784
M5S;436.626.956;-794.000.493
M5T;436.532.057;-794.000.493
M5V;436.289.467;-793.944.199
M5W;436.464.352;-79.374.846
M5X;436.484.292;-793.822.802
M6A;43.718.518;-794.647.633
M6B;43.709.577;-794.450.726
M6C;436.937.813;-794.281.914
M6E;436.890.256;-79.453.512
M6G;43.669.542;-794.225.637
M6H;436.690.051;-794.422.593
M6J;436.479.267;-794.197.497
M6K;436.368.472;-794.281.914
M6L;437.137.562;-794.900.738
M6M;436.911.158;-794.760.133
M6N;436.731.853;-794.872.619
M6P;436.616.083;-794.647.633
M6R;436.489.597;-79.456.325
M6S;436.515.706;-794.844.499
M7A;436.623.015;-793.894.938
M7R;436.369.656;-79.615.819
M7Y;436.627.439;-79.321.558
M8V;436.056.466;-795.013.207
M8W;436.024.137;-795.434.841
M8X;436.536.536;-795.069.436
M8Y;436.362.579;-794.985.091
M8Z;436.288.408;-795.209.994
M9A;436.678.556;-795.322.424
M9B;436.509.432;-795.547.244
M9C;436.435.152;-795.772.008
M9L;437.563.033;-795.659.633
M9M;437.247.659;-795.322.424
M9N;43.706.876;-795.181.884
M9P;43.696.319;-795.322.424
M9R;436.889.054;-795.547.244
M9V;437.394.164;-795.884.369
M9W;437.067.483;-795.940.544
